year,chapter,district,case_count
2010,7,caebk,956
2010,7,canbk,45100
2010,7,casbk,19392
2010,7,cobk,27804
2010,7,ctbk,10487
2010,7,dcbk,3664
2010,7,debk,2734
2010,7,flmbk,51375
2010,7,flnbk,4965
2010,7,flsbk,29224
2010,7,gambk,5868
2010,7,ganbk,36674
2010,7,gasbk,3349
2010,7,gubk,924
2010,7,hibk,3180
2010,7,ianbk,3504
2010,7,iasbk,5934
2010,7,idbk,7468
2010,7,ilcbk,8683
2010,7,ilnbk,52206
2010,7,ilsbk,4052
2010,7,innbk,15958
2010,7,insbk,21365
2010,7,ksbk,8243
2010,7,kyebk,10138
2010,7,kywbk,9950
2010,7,laebk,2629
2010,7,lambk,1326
2010,7,lawbk,4173
2010,7,mabk,18818
2010,7,mdbk,23410
2010,7,mebk,4789
2010,7,miebk,45796
2010,7,miwbk,15026
2010,7,mnbk,19943
2010,7,moebk,13387
2010,7,mowbk,11781
2010,7,msnbk,3726
2010,7,mssbk,4797
2010,7,mtbk,2777
2010,7,ncebk,4537
2010,7,ncmbk,4311
2010,7,ncwbk,6768
2010,7,ndbk,1474
2010,7,nebk,5954
2010,7,nhbk,4786
2010,7,njbk,32543
2010,7,nmbk,6196
2010,7,nmibk,28
2010,7,nvbk,24201
2010,7,nyebk,19514
2010,7,nynbk,9712
2010,7,nysbk,11045
2010,7,nywbk,6955
2010,7,ohnbk,32681
2010,7,ohsbk,24450
2010,7,okebk,2159
2010,7,oknbk,4141
2010,7,okwbk,6638
2010,7,orbk,16435
2010,7,paebk,10603
2010,7,pambk,8034
2010,7,pawbk,10636
2010,7,prbk,4967
2010,7,scbk,5067
2010,7,sdbk,1823
2010,7,tnebk,12149
2010,7,tnmbk,9392
2010,7,tnwbk,6675
2010,7,txebk,4819
2010,7,txnbk,11302
2010,7,txsbk,7288
2010,7,txwbk,8318
2010,7,utbk,12392
2010,7,vaebk,20151
2010,7,vawbk,6760
2010,7,vibk,178
2010,7,vtbk,1369
2010,7,waebk,6111
2010,7,wawbk,21265
2010,7,wiebk,16691
2010,7,wiwbk,8570
2010,7,wvnbk,2613
2010,7,wvsbk,3321
2010,7,wybk,1326
2011,11,akbk,458
2011,11,almbk,32
2011,11,alnbk,79
2011,11,alsbk,41
2011,11,arebk,26
2011,11,arwbk,35
2011,11,azbk,320
2011,11,cacbk,1097
2011,11,caebk,5
2011,11,canbk,170
2011,11,casbk,128
2011,11,cobk,125
2011,11,ctbk,107
2011,11,dcbk,26
2011,11,debk,386
2011,11,flmbk,562
2011,11,flnbk,34
2011,11,flsbk,341
2011,11,gambk,46
2011,11,ganbk,255
2011,11,gasbk,66
2011,11,gubk,31
2011,11,hibk,33
2011,11,ianbk,7
2011,11,iasbk,18
2011,11,idbk,50
2011,11,ilcbk,15
2011,11,ilnbk,256
2011,11,ilsbk,10
2011,11,innbk,29
2011,11,insbk,82
2011,11,ksbk,68
2011,11,kyebk,30
2011,11,kywbk,39
2011,11,laebk,39
2011,11,lambk,8
2011,11,lawbk,34
2011,11,mabk,164
2011,11,mdbk,150
2011,11,mebk,53
2011,11,miebk,168
2011,11,miwbk,26
2011,11,mnbk,81
2011,11,moebk,33
2011,11,mowbk,67
2011,11,msnbk,27
2011,11,mssbk,31
2011,11,mtbk,18
2011,11,ncebk,156
2011,11,ncmbk,28
2011,11,ncwbk,97
2011,11,ndbk,8
2011,11,nebk,50
2011,11,nhbk,11
2011,11,njbk,250
2011,11,nmbk,45
2011,11,nmibk,1
2011,11,nvbk,472
2011,11,nyebk,203
2011,11,nynbk,37
2011,11,nysbk,741
2011,11,nywbk,38
2011,11,ohnbk,76
2011,11,ohsbk,53
2011,11,okebk,3
2011,11,oknbk,7
2011,11,okwbk,25
2011,11,orbk,53
2011,11,paebk,119
2011,11,pambk,26
2011,11,pawbk,111
2011,11,prbk,174
2011,11,scbk,94
2011,11,sdbk,9
2011,11,tnebk,73
2011,11,tnmbk,93
2011,11,tnwbk,60
2011,11,txebk,101
2011,11,txnbk,312
2011,11,txsbk,301
2011,11,txwbk,193
2011,11,utbk,68
2011,11,vaebk,131
2011,11,vawbk,24
